id,price,floor,bedroomCount,netHabitableSurface,constructionYear,facadeCount,floorCount,hasLift,hasGarden,gardenSurface,hasTerrace,terraceSurface,fireplaceExists,hasSwimmingPool,hasAirConditioning,bathroomCount,showerRoomCount,toiletCount,parkingCountIndoor,parkingCountOutdoor,primaryEnergyConsumptionPerSqm,hasDoubleGlazing,BUY_REGULAR,PUBLIC_SALE,APARTMENT,HOUSE,APARTMENT,APARTMENT_BLOCK,BUNGALOW,CASTLE,CHALET,COUNTRY_COTTAGE,DUPLEX,EXCEPTIONAL_PROPERTY,FARMHOUSE,FLAT_STUDIO,GROUND_FLOOR,HOUSE,KOT,LOFT,MANOR_HOUSE,MANSION,MIXED_USE_BUILDING,OTHER_PROPERTY,PENTHOUSE,SERVICE_FLAT,TOWN_HOUSE,TRIPLEX,VILLA,Brussels,Flanders,Wallonie,Antwerp,Brussels,East Flanders,Flemish Brabant,Hainaut,Limburg,Liège,Luxembourg,Namur,Walloon Brabant,West Flanders,AS_NEW,GOOD,JUST_RENOVATED,NO_COND_INFORMATION,TO_BE_DONE_UP,TO_RENOVATE,TO_RESTORE,HYPER_EQUIPPED,INSTALLED,NOT_INSTALLED,NO_KITCH_INFORMATION,SEMI_EQUIPPED,USA_HYPER_EQUIPPED,USA_INSTALLED,USA_SEMI_EQUIPPED,USA_UNINSTALLED,A,A+,A++,B,C,D,E,F,G,NO_EPC_SCORE
10617014,364500,4.0,1.0,78.0,2021.0,1.0,4.0,1,1,0.0,1,0.0,0,0,0,1.0,0.0,2.0,0.0,0.0,0.0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10617025,197500,0.0,1.0,95.0,1946.0,1.0,0.0,0,1,0.0,1,0.0,0,0,0,1.0,0.0,1.0,0.0,0.0,350.0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
10485969,699000,2.0,2.0,135.0,2011.0,1.0,4.0,1,1,0.0,1,0.0,0,0,0,1.0,0.0,1.0,0.0,0.0,108.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
10617076,480000,1.0,2.0,120.0,2016.0,2.0,2.0,1,0,0.0,1,0.0,0,0,0,1.0,0.0,1.0,1.0,0.0,71.0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10617080,249000,3.0,2.0,80.0,2015.0,1.0,3.0,1,0,0.0,1,0.0,0,0,0,1.0,0.0,1.0,0.0,0.0,110.0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
10617086,1590000,2.0,3.0,200.0,2024.0,4.0,4.0,1,0,0.0,1,0.0,1,0,0,2.0,0.0,2.0,1.0,0.0,0.0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
10617087,2350000,0.0,3.0,300.0,2022.0,4.0,4.0,1,1,0.0,1,0.0,1,1,0,2.0,0.0,4.0,2.0,1.0,0.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
10617085,1490000,0.0,3.0,196.0,2024.0,4.0,4.0,1,1,0.0,1,0.0,1,0,0,2.0,0.0,3.0,1.0,0.0,0.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10617158,195000,3.0,2.0,87.0,1981.0,2.0,5.0,1,0,0.0,1,0.0,0,0,0,1.0,0.0,1.0,1.0,0.0,145.0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
10617169,335000,2.0,2.0,112.0,2008.0,2.0,4.0,0,0,0.0,1,0.0,0,0,0,1.0,0.0,1.0,1.0,1.0,105.0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
